h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b3747fff,1,2121,5,False,TESTED,-1.3723858441138412,0.017,0.17779041818784777,NOT_HOT
8a60145b374ffff,1,2121,5,False,TESTED,-0.994072960916953,0.154,0.4009841858607394,NOT_HOT
8a60145b375ffff,1,2121,5,False,TESTED,-0.5468045606411808,0.297,0.46645397350100654,NOT_HOT
8a60145b3767fff,1,2121,6,False,TESTED,-0.8259931019451504,0.226,0.4381587016256695,NOT_HOT
8a60145b376ffff,1,2121,6,False,TESTED,-1.670352286025013,0.002,0.0395167804004362,NOT_HOT
8a60145b3777fff,1,2121,5,False,TESTED,-1.3038672260162147,0.111,0.3707135612154575,NOT_HOT
8a60145b3797fff,1,2121,4,False,TESTED,0.10528333081337239,0.498,0.4996789244567456,NOT_SIGNIFICANT
8a60145b37a7fff,1,2121,3,False,TESTED,-0.8181029702874796,0.202,0.4246053163789305,NOT_HOT
8a60145b37affff,1,2121,4,False,TESTED,-0.3146754380557071,0.321,0.46946052100252167,NOT_HOT
8a60145b37b7fff,1,2121,4,False,TESTED,-0.5653753793641645,0.281,0.4620295814614295,NOT_HOT
8a60145b3847fff,1,2121,1,False,TESTED,0.0960739614128601,0.439,0.49048131575978926,NOT_SIGNIFICANT
8a60145b386ffff,1,2121,4,False,TESTED,-0.31658589036242524,0.377,0.4845932785514641,NOT_HOT
8a60145b3887fff,54,13,1,False,TESTED,1.9407705479159005,0.089,0.3524088830697753,NOT_SIGNIFICANT
8a60145b3897fff,54,13,3,False,TESTED,2.2166449716559358,0.017,0.17779041818784777,NOT_SIGNIFICANT
8a60145b38f7fff,555,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145b3917fff,1,2121,2,False,TESTED,0.4692087432916871,0.219,0.4334359600163307,NOT_SIGNIFICANT
8a60145b3937fff,1,2121,2,False,TESTED,0.5643229226707636,0.13,0.3863906975890097,NOT_SIGNIFICANT
8a60145b3947fff,1,2121,3,False,TESTED,-0.4186501030043744,0.2,0.42359712861424725,NOT_HOT
8a60145b394ffff,1,2121,3,False,TESTED,-0.5074440976923208,0.297,0.46645397350100654,NOT_HOT
8a60145b3967fff,1,2121,3,False,TESTED,-0.12462075100171335,0.391,0.4853906842593073,NOT_HOT
8a60145b396ffff,1,2121,3,False,TESTED,-0.4186501030043744,0.479,0.4995878885112284,NOT_HOT
8a60145b398ffff,1,2121,1,False,TESTED,0.4658252257491014,0.129,0.3859511991826499,NOT_SIGNIFICANT
8a60145b39affff,1,2121,2,False,TESTED,0.5813581407996252,0.207,0.4255642504665439,NOT_SIGNIFICANT
8a60145b3a07fff,1,2121,2,False,TESTED,0.17181957685708654,0.368,0.4820431600025419,NOT_SIGNIFICANT
8a60145b3a17fff,1,2121,3,False,TESTED,0.6768652038920725,0.097,0.359657441338604,NOT_SIGNIFICANT
8a60145b3a2ffff,1,2121,3,False,TESTED,1.5874206296968032,0.061,0.31177778128120637,NOT_SIGNIFICANT
8a60145b3a47fff,1,2121,6,False,TESTED,2.74041894289139,0.061,0.31177778128120637,NOT_SIGNIFICANT
8a60145b3a4ffff,1,2121,4,False,TESTED,4.835365384454085,0.002,0.0395167804004362,HOT_95
8a60145b3a57fff,1,2121,5,False,TESTED,2.179954689640198,0.06,0.31153438457105526,NOT_SIGNIFICANT
8a60145b3a5ffff,1,2121,5,False,TESTED,1.7108396133487866,0.058,0.3087739513321337,NOT_SIGNIFICANT
